id,logtime,campaignid
"4,61691679197053E+018",2018-02-22 00:15:43.012,1188683
"9,3304265129434E+017",2018-02-22 00:15:43.447,1049355
"2,3977746138639E+018",2018-02-22 00:15:44.656,1020893
"4,34155275321151E+018",2018-02-22 00:15:45.812,1020893
"4,34155275321151E+018",2018-02-22 00:15:46.399,1020893
"5,61483222831563E+018",2018-02-22 00:15:46.897,1020893
"7,40644223244153E+018",2018-02-22 00:15:46.925,1020893
"7,15976455564847E+018",2018-02-22 00:15:48.461,1020893
"8,02500046368203E+018",2018-02-22 00:15:51.041,1221633
"9,10282150937299E+018",2018-02-22 00:15:51.330,1020893
"3,82459405467675E+018",2018-02-22 00:15:52.322,1020893
"8,04336837921681E+018",2018-02-22 00:15:54.076,1049355
"7,68816916522358E+018",2018-02-22 00:15:55.665,1049355
"6,67102696430005E+018",2018-02-22 00:15:59.761,1221633
"2,78897769950125E+018",2018-02-22 00:16:00.586,1199166
"5,78517362731136E+018",2018-02-22 00:16:00.659,1199166
"6,44460871158819E+018",2018-02-22 00:16:00.962,1199166
"2,25717645397157E+018",2018-02-22 00:16:01.330,1232120
"5,4095873933844E+018",2018-02-22 00:16:01.376,1188683
"8,19012834373112E+016",2018-02-22 00:16:02.597,1232120
"9,11037870862285E+018",2018-02-22 00:16:05.731,1232120
"4,17397437619426E+017",2018-02-22 00:16:06.092,1188683
"5,13794394221571E+018",2018-02-22 00:16:07.674,1188683
"6,62007913431383E+018",2018-02-22 00:16:10.085,1188683
"4,34838662664664E+018",2018-02-22 00:16:13.697,1199166
"5,7441687312529E+018",2018-02-22 00:16:16.873,1049355
"8,95121378138983E+018",2018-02-22 00:16:19.399,1049355
"5,62323336501136E+018",2018-02-22 00:16:19.457,1049355
"4,81165502946111E+018",2018-02-22 00:16:19.951,1199166
"1,93125963851448E+017",2018-02-22 00:16:20.849,1049355
"8,12642454780321E+018",2018-02-22 00:16:20.987,1188683
"1,46736467788066E+018",2018-02-22 00:16:25.605,1232120
"3,32049839721606E+018",2018-02-22 00:16:25.824,1049355
"4,69353243691807E+017",2018-02-22 00:16:31.288,1221633
"3,51048289514575E+018",2018-02-22 00:16:32.536,1221633
"2,20084669782544E+018",2018-02-22 00:16:35.034,1188683
"1,15511221846096E+018",2018-02-22 00:16:35.550,1232120
"6,22857754559444E+018",2018-02-22 00:16:36.065,1221633
"4,45621715406958E+018",2018-02-22 00:16:37.494,1188683
"8,70704685711133E+018",2018-02-22 00:16:37.806,1188683
"4,86903084927092E+017",2018-02-22 00:16:46.300,1188683
"7,27969192527571E+018",2018-02-22 00:16:56.349,1232120
"6,86537007791173E+018",2018-02-22 00:16:59.807,1221633
"5,29420269020723E+018",2018-02-22 00:17:05.529,1221633
"3,89644925714421E+018",2018-02-22 00:17:06.994,1232120
"2,36970680354246E+018",2018-02-22 00:17:07.606,1221633
"9,22034483029629E+018",2018-02-22 00:17:09.543,1188683
"4,80493636878624E+018",2018-02-22 00:17:16.126,1188683
"1,34058796849307E+018",2018-02-22 00:17:23.999,1049355
"8,03175612695857E+018",2018-02-22 00:17:29.037,1049355
"2,97703415157934E+018",2018-02-22 00:17:31.079,1049355
"6,79378567964772E+017",2018-02-22 00:17:32.036,1188683
"3,69314491713914E+018",2018-02-22 00:17:32.962,1188683
"5,55425533462084E+018",2018-02-22 00:17:33.544,1049355
"7,41735392442415E+017",2018-02-22 00:17:33.647,1221633
